581,D,FARAONI,Verona,21,5.95,6.17,2,0,0,0,0,0,2,7,0,0
2164,D,MILENKOVIC,Fiorentina,27,5.94,6.06,2,0,0,0,0,0,1,4,0,1
2169,D,"RODRIGUEZ R.",Torino,34,6,5.96,0,0,0,0,0,0,0,3,0,0
2739,D,RECA,Spezia,30,6.02,6.03,1,0,0,0,0,0,0,5,0,0
4530,D,KYRIAKOPOULOS,Bologna,21,6.05,6.21,1,0,0,0,0,0,3,5,0,0
4899,D,SINGO,Torino,28,5.93,6.04,2,0,0,0,0,0,1,8,0,0
4904,D,MARI',Monza,29,5.93,5.97,1,0,0,0,0,0,0,4,0,0
5520,D,CAMBIASO,Bologna,31,5.97,6.03,0,0,0,0,0,0,3,2,0,0
5885,D,DODO',Fiorentina,33,5.88,5.98,1,0,0,0,0,0,3,3,1,0
49,D,MASINA,Udinese,11,5.91,6.36,2,0,0,0,0,0,0,2,0,0
226,D,IZZO,Monza,29,6.03,5.97,1,0,0,0,0,0,0,10,0,0
357,D,CALABRIA,Milan,23,5.96,6.09,1,0,0,0,0,0,3,6,0,0
798,D,SKRINIAR,Inter,21,5.79,5.57,0,0,0,0,0,0,0,3,1,1
2847,D,SERNICOLA,Cremonese,31,5.87,5.95,2,0,0,0,0,0,2,11,0,0
4375,D,TERZIC,Fiorentina,17,6.03,6.21,1,0,0,0,0,0,1,2,0,0
4412,D,"RODRIGO BECAO",Udinese,28,6.05,6,2,0,0,0,0,0,1,11,1,1
4897,D,PIROLA,Salernitana,25,5.78,5.94,2,0,0,0,0,0,0,4,0,0
4958,D,CALDIROLA,Monza,30,5.93,6.03,2,0,0,0,0,0,0,6,0,0
256,D,"JUAN JESUS",Napoli,12,6.08,6.25,1,0,0,0,0,0,0,2,0,0
286,D,BONUCCI,Juventus,11,6.05,6,1,0,0,1,0,1,0,1,0,0
322,D,"DE VRIJ",Inter,25,5.94,5.98,1,0,0,0,0,0,0,4,0,0
787,D,DJIMSITI,Atalanta,22,5.91,5.89,0,0,0,0,0,0,1,3,0,0
2188,D,MARUSIC,Lazio,33,6.02,5.92,0,0,0,0,0,0,2,8,1,0
2869,D,DJIDJI,Torino,32,5.77,5.81,1,0,0,0,0,0,0,3,0,0
4331,D,IBANEZ,Roma,33,5.79,5.83,3,0,0,0,0,0,0,9,1,1
4976,D,KALULU,Milan,32,5.75,5.78,1,0,0,0,0,0,0,4,0,0
4994,D,VOJVODA,Torino,27,5.85,5.98,0,0,0,0,0,0,5,3,0,0
5239,D,"LLORENTE D.",Roma,8,6.06,6.06,0,0,0,0,0,0,0,0,0,0
5323,D,"MARTINEZ QUARTA",Fiorentina,27,5.94,5.98,1,0,0,0,0,0,1,6,0,0
5693,D,KIWIOR,Spezia,17,5.91,5.82,0,0,0,0,0,0,0,3,0,0
5867,D,GENDREY,Lecce,36,5.88,5.85,0,0,0,0,0,0,1,4,0,0
6046,D,HIEN,Verona,32,5.94,5.8,0,0,0,0,0,0,0,9,0,0
327,D,PATRIC,Lazio,17,6.12,6.09,0,0,0,0,0,0,0,1,0,0
660,D,GYOMBER,Salernitana,23,6,5.93,0,0,0,0,0,0,1,5,0,0
2318,D,ROGERIO,Sassuolo,35,5.77,5.76,0,0,0,0,0,0,3,5,1,0
2583,D,UMTITI,Lecce,24,5.98,5.81,0,0,0,0,0,0,0,8,0,0
2870,D,TROOST-EKONG,Salernitana,8,5.94,6.25,1,0,0,0,0,0,0,1,0,0
4329,D,NIKOLAOU,Spezia,34,5.69,5.63,1,0,0,0,0,0,0,8,1,0
4332,D,DEMIRAL,Atalanta,22,5.95,5.98,1,0,0,0,0,0,0,5,0,0
4385,D,LAZARO,Torino,20,6,6.05,0,0,0,0,0,0,3,4,0,0
4433,D,ZORTEA,Sassuolo,15,6,6.1,1,0,0,0,0,0,1,5,0,0
4719,D,AMPADU,Spezia,31,5.92,5.79,0,0,0,0,0,0,1,8,1,0
5514,D,VASQUEZ,Cremonese,23,5.78,5.76,1,0,0,0,0,0,0,7,0,0
5532,D,BRADARIC,Salernitana,30,5.75,5.77,0,0,0,0,0,0,3,5,0,0
5718,D,VITI,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
6027,D,LOCHOSHVILI,Cremonese,24,5.81,5.9,1,0,0,0,0,0,1,4,0,0
6047,D,EHIZIBUE,Udinese,21,5.79,5.93,2,0,0,0,0,0,0,7,0,0
6055,D,THIAW,Milan,19,5.92,5.79,0,0,0,0,0,0,0,5,0,0
253,D,D'AMBROSIO,Inter,13,5.96,5.96,0,0,0,0,0,0,2,2,1,0
272,D,MEDEL,Bologna,23,5.93,5.87,0,0,0,0,0,0,1,5,0,0
487,D,"DE SILVESTRI",Bologna,13,5.92,5.96,1,0,0,0,0,0,0,1,0,1
1891,D,CECCHERINI,Verona,20,5.88,5.9,2,0,0,0,0,0,0,9,1,0
1895,D,"FERRARI G.",Sassuolo,27,5.8,5.81,1,0,0,0,0,0,0,5,0,0
2653,D,LYKOGIANNIS,Bologna,19,5.97,6.21,2,0,0,0,0,0,0,3,0,0
2784,D,COLLEY,Sampdoria,16,5.75,5.78,1,0,0,0,0,0,0,5,0,0
2865,D,AINA,Torino,16,6,6.09,1,0,0,0,0,0,1,5,0,0
4378,D,"RANIERI L.",Fiorentina,8,6.25,6.19,0,0,0,0,0,0,0,1,0,0
4426,D,TOLJAN,Sassuolo,31,5.69,5.68,0,0,0,0,0,0,1,3,0,0
4502,D,GALLO,Lecce,31,5.82,5.65,0,0,0,0,0,0,1,3,1,2
4887,D,BELLANOVA,Inter,11,6,6,0,0,0,0,0,0,0,0,0,0
4891,D,SOUMAORO,Bologna,23,6,5.89,0,0,0,0,0,0,0,3,1,0
5010,D,ISMAJLI,Empoli,25,6,5.86,0,0,0,0,0,0,0,3,0,1
5017,D,BALLO-TOURE',Milan,7,5.86,6.29,1,0,0,0,0,0,0,0,0,0
5316,D,AMIONE,Sampdoria,27,5.69,5.63,1,0,0,0,0,0,1,9,1,0
5678,D,HOLM,Spezia,18,6.06,6.17,1,0,0,0,0,0,1,4,0,0
5831,D,GATTI,Juventus,16,5.94,5.81,0,0,0,0,0,0,0,4,0,0
5838,D,BIRINDELLI,Monza,30,5.83,5.77,0,0,0,0,0,0,2,8,0,0
5848,D,EBOSELE,Udinese,10,6,6,0,0,0,0,0,0,1,4,0,0
5856,D,SAMBIA,Salernitana,13,5.88,5.92,0,0,0,0,0,0,1,3,0,0
6042,D,LUCUMI',Bologna,33,5.83,5.68,0,0,0,0,0,0,1,8,0,1
45,D,"FERRARI A.",Cremonese,27,5.7,5.59,0,0,0,0,0,0,0,6,0,0
261,D,RANOCCHIA,Monza,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
640,D,CHIRICHES,Cremonese,15,6,5.8,0,0,0,0,0,0,0,2,0,1
729,D,"PEREIRA P.",Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
2181,D,PALOMINO,Atalanta,14,5.82,5.75,1,0,0,0,0,0,0,4,0,1
2192,D,BONIFAZI,Bologna,13,5.73,5.65,0,0,0,0,0,0,0,2,0,0
2263,D,LAZZARI,Lazio,26,6,5.77,0,0,0,0,0,0,0,8,0,1
