581;D;FARAONI;Verona;14;14;0
536;C;POLITANO;Napoli;14;13;1
2775;C;RUIZ;Napoli;14;14;0
1995;C;DJURICIC;Sassuolo;14;14;0
827;C;LOCATELLI;Sassuolo;14;12;2
4825;C;DIAZ B.;Milan;14;13;1
367;C;BONAVENTURA;Fiorentina;14;14;0
247;A;PAVOLETTI;Cagliari;14;15;-1
2163;A;CORNELIUS;Parma;14;15;-1
123;A;INGLESE;Parma;14;15;-1
2759;D;CRISCITO;Genoa;13;14;-1
697;D;CUADRADO;Juventus;13;13;0
2214;D;KOLAROV;Inter;13;14;-1
644;C;PULGAR;Fiorentina;13;14;-1
265;C;BROZOVIC;Inter;13;13;0
2166;C;BENTANCUR;Juventus;13;13;0
2472;C;RAMSEY;Juventus;13;12;1
152;C;ZIELINSKI;Napoli;13;12;1
376;C;VERDI;Torino;13;14;-1
1997;A;SIMY;Crotone;13;13;0
4517;A;LOZANO;Napoli;13;11;2
474;A;GERVINHO;Parma;13;14;-1
505;A;BONAZZOLI;Torino;13;13;0
1958;A;CAPRARI;Benevento;13;11;2
643;A;DEFREL;Sassuolo;13;11;2
4324;A;OKAKA;Udinese;13;15;-2
345;A;KEITA B.;Sampdoria;13;13;0
652;A;KALINIC;Verona;13;13;0
610;P;GOLLINI;Atalanta;12;13;-1
4419;P;PAU LOPEZ;Roma;12;13;-1
2211;P;SILVESTRI;Verona;12;11;1
2120;D;BASTONI;Inter;12;12;0
2707;D;YOUNG;Inter;12;12;0
460;D;ROMAGNOLI;Milan;12;13;-1
2816;D;DI LORENZO;Napoli;12;12;0
1870;C;BARELLA;Inter;12;12;0
1978;C;SENSI;Inter;12;12;0
2263;C;LAZZARI;Lazio;12;11;1
2692;C;CASTILLEJO;Milan;12;13;-1
1850;C;KESSIE';Milan;12;10;2
236;C;LAZOVIC;Verona;12;13;-1
632;C;ZACCAGNI;Verona;12;12;0
406;C;CALLEJON;Fiorentina;12;12;0
383;A;PETAGNA;Napoli;12;13;-1
475;A;IAGO FALQUE;Benevento;12;14;-2
315;A;ZAZA;Torino;12;13;-1
1943;A;NESTOROVSKI;Udinese;12;12;0
5292;A;LAMMERS;Atalanta;12;11;1
1917;P;DRAGOWSKI;Fiorentina;11;12;-1
509;P;CONSIGLI;Sassuolo;11;10;1
2792;P;MUSSO;Udinese;11;11;0
695;D;TOLOI;Atalanta;11;12;-1
662;D;ALEX SANDRO;Juventus;11;12;-1
288;D;CHIELLINI;Juventus;11;11;0
1852;D;SPINAZZOLA;Roma;11;10;1
2288;D;N'KOULOU;Torino;11;11;0
4245;D;SMALLING;Roma;11;11;0
22;C;DE ROON;Atalanta;11;9;2
788;C;FREULER;Atalanta;11;11;0
234;C;KUCKA;Parma;11;13;-2
2008;C;LINETTY;Torino;11;12;-1
2172;C;BARAK;Verona;11;11;0
704;C;PERISIC;Inter;11;12;-1
302;C;PEREYRA;Udinese;11;11;0
280;A;PALACIO;Bologna;11;10;1
2155;A;CUTRONE;Fiorentina;11;12;-1
245;A;PANDEV;Genoa;11;10;1
5012;A;MURIQI;Lazio;11;12;-1
2178;P;CRAGNO;Cagliari;10;11;-1
2179;P;SIRIGU;Torino;10;11;-1
2181;D;PALOMINO;Atalanta;10;9;1
4331;D;IBANEZ;Roma;10;9;1
2296;D;MANCINI;Roma;10;10;0
4495;D;KUMBULLA;Roma;10;10;0
4514;C;NANDEZ;Cagliari;10;10;0
4479;C;ELMAS;Napoli;10;9;1
28;C;KURTIC;Parma;10;9;1
1987;C;JANKTO;Sampdoria;10;11;-1
600;C;VERRE;Sampdoria;10;8;2
2124;C;ZAJC;Genoa;10;11;-1
2038;A;PINAMONTI;Inter;10;11;-1
4500;A;DI CARMINE;Verona;10;11;-1
472;A;DESTRO;Genoa;10;9;1
5009;A;RIVIERE;Crotone;10;9;1
787;D;DJIMSITI;Atalanta;9;9;0
4422;D;TOMIYASU;Bologna;9;8;1
2309;D;PEZZELLA GER.;Fiorentina;9;10;-1
253;D;D'AMBROSIO;Inter;9;8;1
2572;D;GODIN;Cagliari;9;9;0
4307;D;ROMERO;Atalanta;9;9;0
2633;D;KJAER;Milan;9;8;1
550;D;MAKSIMOVIC;Napoli;9;9;0
73;D;GAGLIOLO;Parma;9;9;0
2784;D;COLLEY;Sampdoria;9;8;1
1895;D;FERRARI G.;Sassuolo;9;8;1
226;D;IZZO;Torino;9;10;-1
4886;C;PEREIRO;Cagliari;9;10;-1
4522;C;AMRABAT;Fiorentina;9;10;-1
801;C;GAGLIARDINI;Inter;9;7;2
184;C;BERNARDESCHI;Juventus;9;10;-1
2379;C;RABIOT;Juventus;9;10;-1
58;C;DIAWARA;Roma;9;9;0
4449;C;TONALI;Milan;9;9;0
1882;A;SAU;Benevento;9;8;1
311;A;LLORENTE;Napoli;9;10;-1
4884;A;CARLES PEREZ;Roma;9;9;0
2196;A;GALABINOV;Spezia;9;4;5
4992;A;GYASI;Spezia;9;9;0
5311;A;SHOMURODOV;Genoa;9;9;0
5233;A;MAYORAL;Roma;9;9;0
2119;A;DEULOFEU;Udinese;9;9;0
4957;P;MONTIPO';Benevento;8;7;1
133;P;SKORUPSKI;Bologna;8;8;0
572;P;MERET;Napoli;8;8;0
2468;P;OSPINA;Napoli;8;8;0
159;P;SEPE;Parma;8;9;-1
761;P;AUDERO;Sampdoria;8;8;0
218;P;PERIN;Genoa;8;8;0
4958;D;CALDIROLA;Benevento;8;6;2
74;D;LETIZIA;Benevento;8;6;2
252;D;BIRAGHI;Fiorentina;8;8;0
2006;D;LIROLA;Fiorentina;8;8;0
798;D;SKRINIAR;Inter;8;8;0
329;D;RADU;Lazio;8;8;0
546;D;BRUNO PERES;Roma;8;9;-1
4426;D;TOLJAN;Sassuolo;8;7;1
2169;D;RODRIGUEZ R.;Torino;8;9;-1
4994;D;VOJVODA;Torino;8;8;0
2315;D;STRYGER LARSEN;Udinese;8;9;-1
2758;D;GUNTER;Verona;8;7;1
487;D;DE SILVESTRI;Bologna;8;8;0
440;C;VIOLA;Benevento;8;9;-1
2076;C;ROG;Cagliari;8;8;0
428;C;BENALI;Crotone;8;9;-1
557;C;BENASSI;Verona;8;9;-1
2839;C;SOTTIL;Cagliari;8;8;0
332;C;CANDREVA;Sampdoria;8;7;1
2818;C;BENNACER;Milan;8;8;0
4423;C;HERNANI;Parma;8;6;2
2391;C;EKDAL;Sampdoria;8;8;0
4404;C;THORSBY;Sampdoria;8;8;0
