Id,R,Nome,Squadra,Pg,Gf,Gs,Ass,Amm,Esp,Mv,Mf,Mv2,Mf2,Mv3,Mf3,Mv4,Mf4,Mv5,Mf5,Hmf
2771,C,BERISHA V.,Lazio,3,0,0,0,0,0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2772,D,DURMISI,Lazio,0,0,0,0,0,0,0.0,0.0,2.88,2.75,0.0,0.0,0.0,0.0,0.0,0.0,2.75
2773,A,SPROCATI,Parma,20,1,0,0,0,0,5.69,5.92,5.71,5.94,0.0,0.0,0.0,0.0,0.0,0.0,5.94
2775,C,RUIZ,Napoli,33,3,0,6,2,0,6.03,6.45,6.14,6.65,0.0,0.0,0.0,0.0,0.0,0.0,6.65
2776,C,YOUNES,Napoli,9,1,0,0,1,0,5.88,6.5,6.07,6.86,0.0,0.0,0.0,0.0,0.0,0.0,6.86
2779,C,KLUIVERT,Roma,22,4,0,0,4,1,5.93,6.34,5.9,6.28,0.0,0.0,0.0,0.0,0.0,0.0,6.28
2780,C,CORIC,Roma,0,0,0,0,0,0,0.0,0.0,2.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,2.75
2781,P,FUZATO,Roma,1,0,1,0,0,0,6.0,5.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5
2783,D,BIANDA,Roma,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2784,D,COLLEY,Sampdoria,31,0,0,1,10,0,5.79,5.66,5.85,5.76,0.0,0.0,0.0,0.0,0.0,0.0,5.76
2785,C,PEETERS,Juventus,1,0,0,0,0,0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2787,D,DICKMANN,SPAL,0,0,0,0,0,0,0.0,0.0,2.75,2.69,0.0,0.0,0.0,0.0,0.0,0.0,2.69
2788,D,BREMER,Torino,27,3,0,0,2,2,5.81,6.04,5.9,5.9,0.0,0.0,0.0,0.0,0.0,0.0,5.9
2789,C,MEITE',Torino,33,0,0,1,5,0,5.71,5.66,5.84,5.88,0.0,0.0,0.0,0.0,0.0,0.0,5.88
2790,P,ROSATI,Torino,1,0,1,0,0,0,5.5,4.5,2.75,2.25,0.0,0.0,0.0,0.0,0.0,0.0,2.25
2792,P,MUSSO,Udinese,38,0,51,0,1,0,6.26,5.07,6.24,4.93,0.0,0.0,0.0,0.0,0.0,0.0,4.93
2793,D,OPOKU,Udinese,7,0,0,0,1,1,5.71,5.5,5.58,5.36,0.0,0.0,0.0,0.0,0.0,0.0,5.36
2794,A,MICIN,Udinese,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2795,D,TER AVEST,Udinese,20,0,0,0,1,0,5.71,5.68,5.76,5.78,0.0,0.0,0.0,0.0,0.0,0.0,5.78
2798,P,DINI,Parma,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2801,D,IACOPONI,Parma,36,2,0,0,7,0,5.86,5.93,5.74,5.76,0.0,0.0,0.0,0.0,0.0,0.0,5.76
2802,C,BARILLA',Parma,26,1,0,1,6,0,5.68,5.72,5.72,5.84,0.0,0.0,0.0,0.0,0.0,0.0,5.84
2804,C,SCOZZARELLA,Parma,16,0,0,3,2,0,6.18,6.32,5.98,6.03,0.0,0.0,0.0,0.0,0.0,0.0,6.03
2805,A,BARAYE,Parma,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2807,A,DA CRUZ,Parma,0,0,0,0,0,0,0.0,0.0,2.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,2.75
2808,A,FREDIANI,Parma,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2809,P,VIGORITO,Lecce,5,0,9,0,1,0,5.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2815,P,TERRACCIANO,Fiorentina,7,0,5,0,0,0,6.36,5.64,6.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,5.3
2816,D,DI LORENZO,Napoli,33,3,0,3,5,0,5.94,6.23,5.96,6.29,0.0,0.0,0.0,0.0,0.0,0.0,6.29
2818,C,BENNACER,Milan,31,1,0,0,14,0,6.02,5.89,6.04,5.95,0.0,0.0,0.0,0.0,0.0,0.0,5.95
2819,A,CAPUTO,Sassuolo,36,21,0,6,3,0,6.41,8.4,6.24,7.76,0.0,0.0,0.0,0.0,0.0,0.0,7.76
2825,C,BOURABIA,Sassuolo,17,1,0,1,5,1,5.72,5.53,5.76,5.64,0.0,0.0,0.0,0.0,0.0,0.0,5.64
2826,A,PUSSETTO,Udinese,12,1,0,0,1,0,5.72,6.0,5.84,6.15,0.0,0.0,0.0,0.0,0.0,0.0,6.15
2828,C,COLOMBATTO,Cagliari,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,A,BOGA,Sassuolo,34,11,0,2,0,0,6.23,7.29,6.16,6.88,0.0,0.0,0.0,0.0,0.0,0.0,6.88
2833,C,KULUSEVSKI,Parma,36,10,0,8,3,0,6.28,7.29,5.89,6.4,0.0,0.0,0.0,0.0,0.0,0.0,6.4
2835,C,KINGSLEY,Bologna,1,0,0,0,0,0,6.5,6.5,3.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,3.25
2836,P,OLSEN,Cagliari,17,0,24,0,0,1,6.41,4.94,6.18,4.66,0.0,0.0,0.0,0.0,0.0,0.0,4.66
